Rakip Domain	Ortak KW	Rakip KW	Dogtas KW	Paylasim %	Rakip Trafik	Rakip DR
kelebek.com	9688	9407	12964	30.2	294065	36
istikbal.com.tr	13191	25403	9461	27.4	1260922	66
enzahome.com.tr	8112	9592	14540	25.1	392036	39
bellona.com.tr	13932	33289	8720	24.9	1189177	56
mondihome.com.tr	7144	6537	15508	24.4	233929	41
divanev.com.tr	6563	5018	16089	23.7	129582	35
gundogdumobilya.com.tr	7132	7780	15520	23.4	197635	36
modalife.com	6442	6528	16210	22.0	269384	33
vivense.com	9178	26065	13474	18.8	1133138	64
ergul.com.tr	4301	2592	18351	17.0	138741	32
normod.com	3291	2548	19361	13.0	169368	38
medusahome.com.tr	3105	2877	19547	12.1	69639	31
cilek.com	3689	7703	18963	12.1	159260	53
ikea.com.tr	11775	78419	10877	11.6	3833536	66
engince.com.tr	2691	1817	19961	10.9	67340	29
evgezmesi.com	2059	5769	20593	7.2	44424	32
mobilyadiyari.com	1579	1073	21073	6.6	24024	33
konfor.com.tr	1429	571	21223	6.1	37140	37
