URL	KW Sayısı	Top Keyword	Top KW Volume	Top KW Pozisyon
https://www.dogtas.com/	2461	doğtaş	75000	1
https://www.dogtas.com/koltuk-takimlari	2746	koltuk takımı	151000	7
https://www.dogtas.com/yatak-odasi-takimlari	1452	yatak odası takımı	106000	3
https://www.dogtas.com/kose-takimlari	1441	l koltuk takımı	27000	5
https://www.dogtas.com/tv-unitesi-lp	259	tv ünitesi	68000	4
https://www.dogtas.com/tv-uniteleri	876	televizyon ünitesi modelleri	8000	2
https://www.dogtas.com/dolap	1174	doğtaş gardrop	700	1
https://www.dogtas.com/uclu-koltuklar	377	doğtaş koltuk takımı	7900	3
https://www.dogtas.com/yemek-masalari	794	yemek masası	35000	12
https://www.dogtas.com/mutfak-masasi-takimi	868	mutfak masası	33000	11
https://www.dogtas.com/oturma-grubu	352	doğtaş koltuk takımı	7900	2
https://www.dogtas.com/yemek-odasi-takimlari	988	doğtaş yemek odası	1600	1
https://www.dogtas.com/genc-odasi-takimlari	1081	doğtaş genç odası	2200	1
https://www.dogtas.com/konsol	292	konsol modelleri	16000	7
https://www.dogtas.com/blog-dokuma-kumas-nedir-ozellikleri-nelerdir	26	dokuma kumaş nedir	9400	1
https://www.dogtas.com/berjerler-ve-puflar	496	berjer	28000	12
https://www.dogtas.com/dugun-paketleri	178	düğün paketi mobilya	6700	4
https://www.dogtas.com/blog-gri-ile-uyumlu-renkler	302	gri ile uyumlu renkler	5400	3
https://www.dogtas.com/bahce-ve-balkon-oturma-takimi	110	balkon takımı	33000	10
https://www.dogtas.com/dogtas-genc-ve-cocuk-odasi	145	doğtaş	75000	1
https://www.dogtas.com/blog-antrasit-renk-nedir	149	antrasit renk	22000	3
https://www.dogtas.com/yemek-odasi	99	doğtaş	75000	1
https://www.dogtas.com/blog-retro-ne-demek	22	retro ne demek	18000	1
https://www.dogtas.com/blog-kilim-motifleri	125	turk hali motifleri cizim	5100	7
https://www.dogtas.com/blog-tek-kisilik-yatak-olculeri-nelerdir	117	tek kişilik yatak ölçüleri	6900	3
https://www.dogtas.com/blog-kucuk-banyo-dekorasyonu	54	kullanışlı küçük banyo modelleri	6500	4
https://www.dogtas.com/kalia-koltuk-takimi	61	doğtaş koltuk takımı	7900	5
https://www.dogtas.com/yatak-odasi	38	doğtaş	75000	1
https://www.dogtas.com/yatak-odasi-lp	320	doğtaş yatak odası	4100	2
https://www.dogtas.com/blog-geri-donusum-fikirleri	96	geri dönüşüm projeleri	10000	7
https://www.dogtas.com/blog-amerikan-mutfak-dekorasyonu	88	küçük evlere amerikan mutfak modelleri	1600	2
https://www.dogtas.com/blog-en-kullanisli-koltuk-kumasi-hangisi	194	en iyi koltuk kumasi	1000	1
https://www.dogtas.com/blog-saksi-cicek-isimleri	115	saksı çiçekleri	9100	5
https://www.dogtas.com/blog-dar-odalar-icin-iki-kisilik-genc-odasi-fikirleri	47	kardes dar odalar için iki kişilik genç odası	800	1
https://www.dogtas.com/sehpalar	181	doğtaş sehpa	1000	1
https://www.dogtas.com/blog-polyester-kumas-nedir-avantajlari-kullanim-alanlari-ve-ozellikleri	78	polyester kumaş	14000	8
https://www.dogtas.com/online-satis-danismani	20	doğtaş müşteri hizmetleri	3400	1
https://www.dogtas.com/blog-modern-ev-dekorasyonu	90	modern ev dekorasyon örnekleri	1600	1
https://www.dogtas.com/magazalarimiz	2682	doğtaş magazalar	200	1
https://www.dogtas.com/ikili-koltuklar	102	ikili koltuk	7100	11
https://www.dogtas.com/genc-dolabi	187	çocuk dolabı	2200	7
https://www.dogtas.com/blog-antre-dekorasyonu	65	luks antre dekorasyonu	1700	2
https://www.dogtas.com/blog-leke-tutmayan-koltuk-kumaslari-nelerdir	55	leke tutmayan koltuk kumaşları	3500	4
https://www.dogtas.com/sandalye-bank	46	yemek masası sandalyesi	6500	7
https://www.dogtas.com/blog-cift-kisilik-yatak-olculeri	99	çift kişilik yatak ölçüleri	8900	9
https://www.dogtas.com/tv-unitesi-takimlari	154	doğtaş tv ünitesi	2400	2
https://www.dogtas.com/acilir-masa	97	açılır kapanır masa	8300	8
https://www.dogtas.com/bahce-salincak	44	salıncak	14000	5
https://www.dogtas.com/blog-mobilya-boyama	141	mobilya boyama	1800	2
https://www.dogtas.com/zigon-sehpa	48	doğtaş zigon sehpa	1000	1
