Domain	DR	Dofollow Link	Toplam Link	Ilk Gorulme
youtube.com	99	0	6	2025-09-15
wikipedia.org	97	0	1	2022-08-06
waze.com	92	0	4	2025-02-10
yandex.com	91	0	12	2025-08-20
google.com.tr	90	2	2	2025-12-26
unglobalcompact.org	89	5	5	2024-07-30
kompas.com	88	0	1	2023-03-22
yandex.com.tr	86	0	546	2025-08-07
angelfire.com	86	1	1	2024-06-22
hurriyet.com.tr	85	0	4	2025-10-04
milliyet.com.tr	84	0	1	2022-04-16
vtv.vn	82	0	1	2021-07-20
iyzico.com	82	10	10	2024-06-12
design-milk.com	81	2	2	2024-07-10
eksisozluk.com	77	0	3	2022-08-17
yandex.com.ge	75	0	10	2024-03-18
cdn77.org	75	0	8	2024-07-10
grokipedia.com	74	1	1	2025-12-12
contactout.com	74	0	4	2025-09-12
donanimhaber.com	74	0	1	2025-09-23
marktplatz-mittelstand.de	73	0	2	2024-12-22
klix.ba	73	9	10	2024-06-08
evrimagaci.org	73	0	1	2025-03-16
tim.org.tr	72	3	3	2021-02-16
shiftdelete.net	72	8	8	2020-12-20
siteprice.org	72	0	68	2025-07-07
articlement.com	72	11	11	2025-02-25
craft.co	72	2	2	2020-06-04
