Domain	DR	Backlink	Dofollow BL	Refdomains	Dofollow RD	Organik Trafik	Organik KW	Durum
kelebek.com	36	16467	11609	2024	1696	322106	17041	Analiz Edilen
istikbal.com.tr	66	350435	326710	1472	923	1304238	34995	Rakip
bellona.com.tr	56	189881	181771	1459	570	1178033	43411	Rakip
dogtas.com	46	16756	11200	2641	2087	419560	19195	Grup Markası
ikea.com.tr	66	160749	142928	1985	976	3708778	80120	Rakip

ANALİZ ÖZETİ
Metrik	Kelebek	Ort. Rakip	Fark	Yorum
DR	36	58.5	-22.5	DR açığı mevcut - link building önerilir
Backlink	16467	179455	-162988	Önemli bir backlink açığı bulunmaktadır
Dofollow BL	11609	165652	-154043	Dofollow link kazanımı öncelikli değerlendirilebilir
Refdomains	2024	1889	+135	Refdomains çok iyi - çeşitlilik var
Dofollow RD	1696	1144	+552	Dofollow refdomains rakiplerden iyi
Org Trafik	322106	1652652	-1330546	Trafik açığı büyük ama DR ile kapanır
Org KW	17041	44505	-27464	Keyword çeşitliliği artırılması önerilir

ÖNCELİKLİ AKSİYON
1. DR Artırma: İstikbal (DR 66) ve IKEA (DR 66) ile aradaki 30 puanlık farkı kapatmak adına yüksek otoriteli sitelerden backlink kazanılması değerlendirilebilir
2. Backlink Sayısı: İstikbal 350K, Bellona 189K backlinkle çok önde. PR, sponsorluk, misafir yazıları ile backlink sayısı artırılması önerilir
3. Refdomains Avantajı: 2024 farklı domainden link gelmesi rakiplere göre iyi. Bu çeşitliliği koruyarak DR yükseltilmesi önerilir
4. Dofollow Oranı: %70 dofollow oranı sağlam. Yeni linkler de dofollow odaklı olmalı
