Sayfa URL	Internal Link Sayısı	Dofollow	Nofollow	Tür
/uye-giris	4552	4552	0	Sitewide Nav
/	4551	4551	0	Sitewide Nav
/kampanyalar	4546	4546	0	Sitewide Nav
/magazalarimiz	4537	4537	0	Sitewide Nav
/online-ozel	4533	4533	0	Sitewide Nav
/hesabim/favori-listem	4529	4529	0	Sitewide Nav
/yardim	4529	4529	0	Sitewide Nav
/online-ozel-yatak-odalari	4529	4529	0	Landing Page
/sepet	4529	4529	0	Sitewide Nav
/online-ozel-genc-odalari	4528	4528	0	Landing Page
/online-ozel-dekoratif-aksesuar	4528	4528	0	Landing Page
/online-ozel-calisma-odalari	4528	4528	0	Landing Page
/online-ozel-mutfak	4528	4528	0	Landing Page
/online-ozel-tv-unitesi	4528	4528	0	Landing Page
/online-ozel-yemek-odalari	4528	4528	0	Landing Page
/online-ozel-oturma-odalari	4528	4528	0	Landing Page
/bayilik-basvuru-formu	4527	4527	0	Sitewide Nav
/sandalye-bench	2304	2304	0	Kategori Sayfası
/en/tv-unit	2301	2301	0	EN Kategori
/en/dining-room	2294	2294	0	EN Kategori
/en/coffee-tables	2294	2294	0	EN Kategori
/en/teen-room	2292	2292	0	EN Kategori
/en/kitchen-tables-chairs	2291	2291	0	EN Kategori
/en/by-series	2290	2290	0	EN Kategori
/en/chairs-benches	2290	2290	0	EN Kategori
/en/living-room	2290	2290	0	EN Kategori

INTERNAL LINK ANALİZİ
Sorun	Açıklama
Sitewide vs Kategori Farkı	Sitewide sayfalar ~4530, kategori sayfaları ~2300 internal link alıyor. Kategori sayfaları 2x daha az link alıyor
EN Sayfaların Etkisi	İngilizce sayfalar gereksiz yere ~2290 internal link alıyor. Bu link juice TR kategorilere yönlendirilmesi önerilir
Eksik Kategori Sayfaları	Koltuk takımları, yatak odasi, yemek odasi gibi ana kategoriler listede yok - daha fazla internal link almalı
Online Özel Fazlalığı	7 farklı online-ozel sayfası sitewide'da linklenmiş - link juice dağılıyor

OPTİMİZASYON ÖNERİLERİ
1. Ana kategori sayfalarını (koltuk-takımları, yatak-odasi-takimi, yemek-odasi-takimi) footer ve sidebar'a eklenmesi önerilir
2. EN sayfalara hreflang kullanın ama gereksiz internal linkleri azaltılması değerlendirilebilir
3. Online-ozel sayfalarını tek bir hub sayfada toplanması önerilir
4. Blog yazılarından kategori sayfalarına contextual internal link eklenmesi önerilir
5. Ürün sayfalarından ilgili kategori sayfalarına breadcrumb + related links eklenmesi önerilir
