Keyword	Hacim	Pozisyon	Trafik	KD	CPC (cent)	URL	Kategori	Cluster	Intent
kelebek	112000	1	81070	42	4	https://www.kelebek.com/	Brand	Diğer	I/C/N
kelebek mobilya	91000	1	50909	1	4	https://www.kelebek.com/	Brand	Diğer	I/C/N
yatak odası takımı	117000	9	5768	3	8	https://www.kelebek.com/yatak-odasi-takimi	Quick Win	Yatak Odası	I/C
mutfak masa sandalye takımı	16000	2	5118	2	4	https://www.kelebek.com/mutfak-masa-takimi	Non-Brand	Masa / Sandalye	I/C
mutfak masası takımı	21000	3	4934	2	4	https://www.kelebek.com/mutfak-masa-takimi	Non-Brand	Masa / Sandalye	I/C
zigon sehpa	32000	3	4922	0	4	https://www.kelebek.com/zigon-sehpa	Non-Brand	Sehpa / Konsol	I/C
koltuk takımı	160000	12	4581	10	8	https://www.kelebek.com/koltuk-takimlari	Quick Win	Koltuk / Oturma	I/C
mutfak masası	47000	6	3902	1	4	https://www.kelebek.com/mutfak-masa-takimi	Quick Win	Masa / Sandalye	I/C
l koltuk	55000	7	3652	2	6	https://www.kelebek.com/kose-takimi	Quick Win	Koltuk / Oturma	I/C
kelebek koltuk takımı	3500	1	3582	0	3	https://www.kelebek.com/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
tv ünitesi	73000	9	3274	7	5	https://www.kelebek.com/tv-unite-takimi	Quick Win	TV Ünitesi	I/C/T
bohem koltuk takımı	79000	8	3023	0	6	https://www.kelebek.com/lucenta-bohem-koltuk-takimi	Quick Win	Koltuk / Oturma	I/C
orta sehpa	41000	7	2609	0	5	https://www.kelebek.com/orta-sehpa	Quick Win	Sehpa / Konsol	I/C
sandalye	48000	5	2477	1	4	https://www.kelebek.com/sandalye-bench	Quick Win	Masa / Sandalye	I/C
konsol	35000	3	2326	0	4	https://www.kelebek.com/konsol	Non-Brand	Sehpa / Konsol	I/C
şifonyer	37000	6	2014	0	6	https://www.kelebek.com/sifonyer	Quick Win	Yatak Odası	I/C
puf	35000	5	1877	0	2	https://www.kelebek.com/puf	Quick Win	Koltuk / Oturma	I/C
