Keyword	Hacim	Pozisyon	Trafik	KD	CPC (cent)	URL	Kategori	Cluster	Intent
doğtaş	95000	1	91983	3	4	https://www.dogtas.com/tr	Brand	Diğer	I/C
doğtaş mobilya	18000	1	13360	0	6	https://www.dogtas.com/tr	Brand	Diğer	I/C
yatak odası takımı	117000	6	11232	3	8	https://www.dogtas.com/yatak-odasi	Quick Win	Yatak Odası	I/C
koltuk takımı	160000	8	8862	10	8	https://www.dogtas.com/koltuk-takimlari	Quick Win	Koltuk / Oturma	I/C
doğtaş koltuk takımı	10000	1	8319	0	3	https://www.dogtas.com/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
mobilya	29000	1	8144	64	7	https://www.dogtas.com/tr	Non-Brand	Diğer	I/C
gardrop	32000	2	6866	2	8	https://www.dogtas.com/dolaplar	Non-Brand	Yatak Odası	I/C
çalışma masası	97000	8	5403	4	6	https://www.dogtas.com/genc-ve-cocuk-odasi-calisma-masalari	Quick Win	Masa / Sandalye	I/C
tv ünitesi	73000	8	3696	7	5	https://www.dogtas.com/tv-uniteleri	Quick Win	TV Ünitesi	I/C/T
doğtaş yatak odası	5000	1	2437	0	3	https://www.dogtas.com/yatak-odasi	Brand	Yatak Odası	I/C
çocuk odası	25000	5	1985	1	6	https://www.dogtas.com/genc-ve-cocuk-odasi	Quick Win	Genç / Çocuk Odası	I/C
doğtaş genç odası	2200	1	1978	0	3	https://www.dogtas.com/genc-ve-cocuk-odasi-takimlari	Brand	Genç / Çocuk Odası	I/C
doğtaş köşe takımı	3200	1	1860	0	4	https://www.dogtas.com/kose-takimlari	Brand	Koltuk / Oturma	I/C
dogtas	2200	1	1807	3	3	https://www.dogtas.com/tr	Brand	Diğer	I/C
doğtaş koltuk	3200	2	1681	1	4	https://www.dogtas.com/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
doğtaş orta sehpa	1900	1	1611	0	3	https://www.dogtas.com/sehpalar	Brand	Sehpa / Konsol	I/C
l koltuk	55000	11	1496	2	6	https://www.dogtas.com/kose-takimlari	Quick Win	Koltuk / Oturma	I/C
yemek odası takımı	14000	6	1354	3	6	https://www.dogtas.com/yemek-odasi	Quick Win	Yemek Odası	I/C
yatak odası	17000	5	1335	5	7	https://www.dogtas.com/yatak-odasi	Quick Win	Yatak Odası	I/C
doğtaş mutfak masası	2000	1	1257	0	3	https://www.dogtas.com/mutfak-grubu	Brand	Masa / Sandalye	I/C
doğtaş salon takımı	1700	1	1203	2	3	https://www.dogtas.com/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
karyola	14000	5	1180	0	6	https://www.dogtas.com/karyolalar	Quick Win	Yatak / Baza	I/C
doğtaş sehpa	1300	1	1118	0	5	https://www.dogtas.com/sehpalar	Brand	Sehpa / Konsol	I/C
doğtaş yemek masası	1400	1	1107	0	3	https://www.dogtas.com/yemek-masalari	Brand	Masa / Sandalye	I/C
doğtaş tv ünitesi	2600	1	1095	0	4	https://www.dogtas.com/tv-uniteleri	Brand	TV Ünitesi	I/C
doğtaş zigon sehpa	1200	1	1056	0	4	https://www.dogtas.com/sehpalar	Brand	Sehpa / Konsol	I/C
doğtaş müşteri hizmetleri	2200	1	1018	0	7	https://www.dogtas.com/online-satis-danismani	Brand	Diğer	I
düğün paketi	11000	4	1014	0	8	https://www.dogtas.com/dugun-paketleri	Quick Win	Düğün / Çeyiz	I/C
doğtaş kitaplık	1000	1	995	0	5	https://www.dogtas.com/kitapliklar-2	Brand	Dekorasyon / Aksesuar	I/C
bohem koltuk takımı	79000	13	990	0	6	https://www.dogtas.com/legna-koltuk-takimi	Quick Win	Koltuk / Oturma	I/C
