Keyword	Hacim	Pozisyon	Trafik	KD	CPC (cent)	URL	Kategori	Cluster	Intent
istikbal	94000	1	87189	6	4	https://www.istikbal.com.tr/	Brand	Diğer	I/C
koltuk takımı	160000	1	44581	10	8	https://www.istikbal.com.tr/kategori/koltuk-takimlari	Non-Brand	Koltuk / Oturma	I/C
yatak odası takımı	117000	1	41232	3	8	https://www.istikbal.com.tr/kategori/yatak-odasi-takimi	Non-Brand	Yatak Odası	I/C
istikbal koltuk takımı	18000	1	22639	0	1	https://www.istikbal.com.tr/kategori/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
salon takımı	20000	1	11399	9	7	https://www.istikbal.com.tr/kategori/koltuk-takimlari	Non-Brand	Koltuk / Oturma	I/C
l koltuk	55000	2	11144	2	6	https://www.istikbal.com.tr/kategori/kose-takimlari	Non-Brand	Koltuk / Oturma	I/C
istikbal yatak	11000	1	10813	0	3	https://www.istikbal.com.tr/kategori/yatak	Brand	Yatak / Baza	I/C
istikbal mobilya	9600	1	9210	3	3	https://www.istikbal.com.tr/	Brand	Diğer	I/C
bohem koltuk takımı	79000	5	7659	0	6	https://www.istikbal.com.tr/kategori/bohem-koltuk-takimi	Quick Win	Koltuk / Oturma	I/C
l koltuk takımı	25000	2	6555	3	5	https://www.istikbal.com.tr/kategori/kose-takimlari	Non-Brand	Koltuk / Oturma	I/C
koltuk takımı fiyatları	9100	1	6302	9	7	https://www.istikbal.com.tr/kategori/koltuk-takimlari	Non-Brand	Koltuk / Oturma	I/C
oturma odası takımı	14000	1	6076	7	7	https://www.istikbal.com.tr/kategori/oturma-odasi	Non-Brand	Koltuk / Oturma	I/C
istikbal yatak odası takımı	3600	1	4803	0	2	https://www.istikbal.com.tr/kategori/yatak-odasi-takimi	Brand	Yatak Odası	I/C
köşe koltuk takımı	23000	3	4801	2	6	https://www.istikbal.com.tr/kategori/kose-takimlari	Non-Brand	Koltuk / Oturma	I/C
istikbal genç odası	3800	1	4427	1	2	https://www.istikbal.com.tr/kategori/genc-odasi-takimlari	Brand	Genç / Çocuk Odası	I/C
viskon kumaş nedir	9600	1	4315	0	1	https://www.istikbal.com.tr/blog/icerik/viskon-kumas-nedir-ozellikleri-ve-kullanim-alanlari	Non-Brand	Blog / Bilgi	I
düğün paketi	11000	1	4257	0	8	https://www.istikbal.com.tr/kategori/dugun-paketi	Non-Brand	Düğün / Çeyiz	I/C
mobilya	29000	4	4170	64	7	https://www.istikbal.com.tr/	Non-Brand	Diğer	I/C
koltuk takımı modelleri	17000	1	4135	9	7	https://www.istikbal.com.tr/kategori/koltuk-takimlari	Non-Brand	Koltuk / Oturma	I/C
yemek masası takımı	40000	5	4049	2	5	https://www.istikbal.com.tr/kategori/yemek-odasi-takimi	Quick Win	Masa / Sandalye	I/C
istikbal oturma grubu	3500	1	3966	0	1	https://www.istikbal.com.tr/kategori/oturma-odasi	Brand	Koltuk / Oturma	I/C
istikbal yatak odası	3600	1	3880	0	2	https://www.istikbal.com.tr/kategori/yatak-odasi-takimi	Brand	Yatak Odası	I/C
