Keyword	Hacim	Pozisyon	Trafik	KD	CPC (cent)	URL	Kategori	Cluster	Intent
bellona	157000	1	151065	2	3	https://www.bellona.com.tr/	Brand	Diğer	I/C
bellona koltuk takımı	55000	1	39096	0	1	https://www.bellona.com.tr/kategori/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
yatak odası takımı	117000	4	17550	3	8	https://www.bellona.com.tr/kategori/yatak-odasi-takimi	Quick Win	Yatak Odası	I/C
koltuk takımı	160000	7	13981	10	8	https://www.bellona.com.tr/kategori/koltuk-takimlari	Quick Win	Koltuk / Oturma	I/C
ergonomi örnekleri	22000	1	12154	0	1	https://www.bellona.com.tr/blog/icerik/ergonomi-nedir	Non-Brand	Blog / Bilgi	I
bellona yatak odası	11000	1	11681	2	2	https://www.bellona.com.tr/kategori/yatak-odasi-takimi	Brand	Yatak Odası	I/C
bohem koltuk takımı	79000	2	11530	0	6	https://www.bellona.com.tr/kategori/bohem-koltuk-takimi	Non-Brand	Koltuk / Oturma	I/C
bellona yatak	11000	1	10350	0	3	https://www.bellona.com.tr/kategori/yatak	Brand	Yatak / Baza	I/C
bellona oturma grubu	7700	1	8578	0	1	https://www.bellona.com.tr/kategori/oturma-odasi	Brand	Koltuk / Oturma	I/C
çift kişilik baza	11000	1	7706	1	5	https://www.bellona.com.tr/kategori/cift-kisilik-bazalar	Non-Brand	Yatak / Baza	I/C
bellona yatak odası takımı	6000	1	7570	0	2	https://www.bellona.com.tr/kategori/yatak-odasi-takimi	Brand	Yatak Odası	I/C
bellona köşe takımı	5600	1	6050	2	3	https://www.bellona.com.tr/kategori/kose-koltuk	Brand	Koltuk / Oturma	I/C
tv ünitesi	73000	6	5774	7	5	https://www.bellona.com.tr/kategori/tv-unitesi	Quick Win	TV Ünitesi	I/C/T
bellona mobilya	5500	1	5183	1	3	https://www.bellona.com.tr/	Brand	Diğer	I/C/T/N
bellona koltuk takımı fiyatları	3400	1	4832	2	4	https://www.bellona.com.tr/kategori/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
bellona mutfak masası	4000	1	4539	0	2	https://www.bellona.com.tr/kategori/mutfak-masa-takimi	Brand	Masa / Sandalye	I/C
çeyiz listesi	23000	2	4496	0	4	https://www.bellona.com.tr/blog/icerik/eksiksiz-ve-en-detayli-gelin-ceyiz-listesi-mutlaka-alinmasi-gerekenler	Non-Brand	Düğün / Çeyiz	I/C
bellona genç odası	3800	1	4172	0	3	https://www.bellona.com.tr/kategori/genc-odasi	Brand	Genç / Çocuk Odası	I/C/T
bellona koltuk	3300	1	3848	1	1	https://www.bellona.com.tr/kategori/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
antoryum çiçeği bakımı	5200	1	3571	0	1	https://www.bellona.com.tr/blog/icerik/antoryum-cicegi-bakimi	Non-Brand	Blog / Bilgi	I
bellona salon takımı	3300	1	3502	0	2	https://www.bellona.com.tr/kategori/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
bellona yemek odası	3200	1	3441	0	2	https://www.bellona.com.tr/kategori/yemek-odasi-takimi	Brand	Yemek Odası	I/C
bellona yemek masası	4800	1	3399	0	2	https://www.bellona.com.tr/kategori/yemek-masasi	Brand	Masa / Sandalye	I/C
bellona zigon sehpa	3500	1	3341	0	1	https://www.bellona.com.tr/kategori/zigon-sehpa	Brand	Sehpa / Konsol	I/C
yemek odası takımı	14000	2	3307	3	6	https://www.bellona.com.tr/kategori/yemek-odasi-takimi	Non-Brand	Yemek Odası	I/C
bellona baza	3100	1	3133	0	3	https://www.bellona.com.tr/kategori/baza	Brand	Yatak / Baza	I/C
20 haziran hangi burç	5200	1	3097	0	1	https://www.bellona.com.tr/blog/icerik/burc-renkleri-burcunuza-gore-evinizi-hangi-renklerde-dekore-etmelisiniz	Non-Brand	Dekorasyon / Aksesuar	I
bellona l koltuk	3100	1	3060	0	2	https://www.bellona.com.tr/kategori/kose-koltuk	Brand	Koltuk / Oturma	I/C
bellona konsol	3200	1	3050	0	2	https://www.bellona.com.tr/kategori/konsol	Brand	Sehpa / Konsol	I/C
makyaj masası	51000	6	3015	0	8	https://www.bellona.com.tr/kategori/makyaj-masasi-tuvalet-masasi	Quick Win	Masa / Sandalye	I/C
yatak odası takımı bellona	2200	1	2883	1	5	https://www.bellona.com.tr/kategori/yatak-odasi-takimi	Brand	Yatak Odası	I/C
bellona gardrop	2300	1	2858	0	3	https://www.bellona.com.tr/kategori/gardirop-elbise-dolabi	Brand	Yatak Odası	I/C
bellona koltuk takımları	2500	1	2695	0	1	https://www.bellona.com.tr/kategori/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
bellona çift kişilik baza + başlık + yatak takımı 160x200 cm	4000	1	2683	0		https://www.bellona.com.tr/kategori/cift-kisilik-bazalar	Brand	Yatak / Baza	I/C/T
bellona koltuk takımı 3+3+1+1	3900	1	2633	0	5	https://www.bellona.com.tr/kategori/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
bellona müşteri hizmetleri	2900	1	2601	0	4	https://www.bellona.com.tr/blog/icerik/bellona-mobilya-dan-online-alisveris-sureci-nasil-gerceklesir	Brand	Diğer	I
bellona orta sehpa	2600	1	2561	0	1	https://www.bellona.com.tr/kategori/orta-sehpa	Brand	Sehpa / Konsol	I/C
zigon sehpa	32000	6	2520	0	4	https://www.bellona.com.tr/kategori/zigon-sehpa	Quick Win	Sehpa / Konsol	I/C
bellona koltuk takımı modelleri ve fiyatları	3200	1	2447	2	4	https://www.bellona.com.tr/kategori/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
bellona yatak baza başlık	3100	1	2435	0	4	https://www.bellona.com.tr/kategori/yatak-ve-baza	Brand	Yatak / Baza	I/C
bellona yatak odası fiyatları	1800	1	2391	1	5	https://www.bellona.com.tr/kategori/yatak-odasi-takimi	Brand	Yatak Odası	I/C
l koltuk	55000	9	2337	2	6	https://www.bellona.com.tr/kategori/kose-koltuk	Quick Win	Koltuk / Oturma	I/C
bellona yemek odası takımları	2200	1	2300	0	1	https://www.bellona.com.tr/kategori/yemek-odasi-takimi	Brand	Yemek Odası	I/C
mürekkep lekesi nasıl çıkar	8600	1	2223	0	1	https://www.bellona.com.tr/blog/icerik/murekkep-lekesi-nasil-cikarilir	Non-Brand	Blog / Bilgi	I
televizyon ünitesi	15000	3	2182	7	4	https://www.bellona.com.tr/kategori/tv-unitesi	Non-Brand	TV Ünitesi	I/C
bellona baza başlık	1900	1	2173	0	3	https://www.bellona.com.tr/kategori/yatak-ve-baza	Brand	Yatak / Baza	I/C
bellona tv ünitesi	3000	1	2153	0	2	https://www.bellona.com.tr/kategori/tv-unitesi	Brand	TV Ünitesi	I/C
yemek masası takımı	40000	7	2099	2	5	https://www.bellona.com.tr/kategori/yemek-odasi-takimi	Quick Win	Masa / Sandalye	I/C
bellona masa sandalye	2200	1	2074	1	2	https://www.bellona.com.tr/kategori/mutfak-masa-takimi	Brand	Masa / Sandalye	I/C
bohem yatak odası takımı	5500	1	2047	0	7	https://www.bellona.com.tr/urun/boheems-yatak-odasi-takimi	Non-Brand	Yatak Odası	I/C/T
koltuk takımı - bellona	2600	1	2010	2	4	https://www.bellona.com.tr/kategori/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
yatak başlığı	12000	2	1998	0	5	https://www.bellona.com.tr/kategori/yatak-basligi-baza-basligi	Non-Brand	Yatak / Baza	I/C
mutfak masası	47000	9	1998	1	4	https://www.bellona.com.tr/kategori/mutfak-masa-takimi	Quick Win	Masa / Sandalye	I/C
bellona koltuk-takımları fiyatları	3000	1	1987	1	3	https://www.bellona.com.tr/kategori/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
köşe koltuk takımı	23000	7	1955	2	6	https://www.bellona.com.tr/kategori/kose-koltuk	Quick Win	Koltuk / Oturma	I/C
bellona valencia koltuk takımı	3300	1	1907	0	1	https://www.bellona.com.tr/urun/valencia-koltuk-takimi	Brand	Koltuk / Oturma	I/C
bellona larissa yatak odası	3300	1	1885	0	1	https://www.bellona.com.tr/urun/larissa-yatak-odasi-takimi	Brand	Yatak Odası	I/C
bellona sandalye	1600	1	1841	0	2	https://www.bellona.com.tr/kategori/sandalye	Brand	Masa / Sandalye	I/C
chester koltuk takımı	14000	4	1835	1	7	https://www.bellona.com.tr/kategori/chester-koltuk-takimi	Quick Win	Koltuk / Oturma	I/C
yemek masası	40000	8	1822	1	6	https://www.bellona.com.tr/kategori/yemek-masasi	Quick Win	Masa / Sandalye	I/C
mum nasıl yapılır	4500	1	1815	0	1	https://www.bellona.com.tr/blog/icerik/mum-nasil-yapilir-pratik-ve-en-guzel-mum-yapma-tuyolari	Long-Tail	Blog / Bilgi	I
bellona kanepe	1600	1	1782	0	2	https://www.bellona.com.tr/kategori/kanepe-koltuk	Brand	Koltuk / Oturma	I/C
çalışma masası	97000	13	1771	4	6	https://www.bellona.com.tr/kategori/calisma-masasi	Quick Win	Masa / Sandalye	I/C
oturma odası takımı	14000	4	1747	7	7	https://www.bellona.com.tr/kategori/oturma-odasi	Quick Win	Koltuk / Oturma	I/C
bellona akıllı sehpa	1800	1	1743	0	2	https://www.bellona.com.tr/kategori/orta-sehpa	Brand	Sehpa / Konsol	I/C
bellona konsol modelleri	2200	1	1734	0	2	https://www.bellona.com.tr/kategori/konsol	Brand	Sehpa / Konsol	I/C
bellona tek kişilik baza	1600	1	1731	0	3	https://www.bellona.com.tr/kategori/baza	Brand	Yatak / Baza	I/C
bellona tek kişilik yatak	2000	1	1700	0	3	https://www.bellona.com.tr/kategori/yatak	Brand	Yatak / Baza	I/C
bellona çekyat	1500	1	1673	0	3	https://www.bellona.com.tr/kategori/kanepe-koltuk	Brand	Koltuk / Oturma	I/C
bellona düğün paketi	1600	1	1643	0	7	https://www.bellona.com.tr/kategori/dugun-paketi	Brand	Düğün / Çeyiz	I/C
tv koltuğu	8400	4	1607	0	6	https://www.bellona.com.tr/kategori/tv-koltugu-baba-koltugu	Quick Win	Koltuk / Oturma	I/C
baza	20000	4	1598	0	5	https://www.bellona.com.tr/kategori/baza	Quick Win	Yatak / Baza	I/C
bellona oturma grubu fiyatları	2600	1	1550	0	5	https://www.bellona.com.tr/kategori/oturma-odasi	Brand	Koltuk / Oturma	I/C
genç odası	22000	7	1548	1	6	https://www.bellona.com.tr/kategori/genc-odasi	Quick Win	Genç / Çocuk Odası	I/C
bohem salon takımı	4200	1	1542	0	7	https://www.bellona.com.tr/kategori/bohem-koltuk-takimi	Long-Tail	Koltuk / Oturma	I/C
tahta kurusu neden olur	3700	1	1534	0	6	https://www.bellona.com.tr/blog/icerik/tahtakurusu-nedir	Long-Tail	Blog / Bilgi	I
bellona kanepe fiyatları	1300	1	1519	0	3	https://www.bellona.com.tr/kategori/kanepe-koltuk	Brand	Koltuk / Oturma	I/C
bohem koltuk	4100	1	1514	0	7	https://www.bellona.com.tr/kategori/bohem-koltuk-takimi	Non-Brand	Koltuk / Oturma	I/C
kanepe	16000	5	1510	3	6	https://www.bellona.com.tr/kategori/kanepe-koltuk	Quick Win	Koltuk / Oturma	I/C
bellona çalışma masası	1500	1	1508	0	4	https://www.bellona.com.tr/kategori/calisma-masasi	Brand	Masa / Sandalye	I/C
bellona sehpa	1800	1	1507	0	1	https://www.bellona.com.tr/kategori/zigon-sehpa	Brand	Sehpa / Konsol	I/C
baba koltuğu	14000	4	1481	0	8	https://www.bellona.com.tr/kategori/tv-koltugu-baba-koltugu	Quick Win	Koltuk / Oturma	I/C/T
