Keyword	Hacim	Pozisyon	Trafik	KD	CPC (cent)	URL	Kategori	Cluster	Intent
yataş uyku seti	11000	16	115	0	3	https://s1-storefront.yatas.com.tr/triola-uyku-seti-c-120103	Brand	Blog / Bilgi	I/C/T
yataş puf modelleri	700	2	76	0	3	https://s1-storefront.yatas.com.tr/puf-c-150203	Brand	Koltuk / Oturma	I/C
yatas.com.tr	30	1	36	8	4	https://www.yatas.com.tr/	Brand	Diğer	I/N
yataş karyola	500	9	35	0	3	https://s1-storefront.yatas.com.tr/-p-1661169	Brand	Yatak / Baza	I/C
yataş yatak baza başlık	2900	16	24	0	3	https://s1-storefront.yatas.com.tr/baza-baslik-set-c-130102	Brand	Yatak / Baza	I/C
yataş athletic yatak	1300	12	23	0	7	https://s1-storefront.yatas.com.tr/-p-324180	Brand	Yatak / Baza	I/C
yataş yün yorgan	1300	14	23	0	5	https://s1-storefront.yatas.com.tr/tr/yun-c-110201	Brand	Ev Tekstili	I/C/T
yataş tv battaniyesi	700	11	21	0	7	https://s1-storefront.yatas.com.tr/tr/holly-p-1440887	Brand	Ev Tekstili	I/C
yataş yatak pedi	700	12	20	0	4	https://s1-storefront.yatas.com.tr/alez-uyku-pedi-c-1103	Brand	Yatak / Baza	I/C
yataş hasta yatağı	250	5	18	0	10	https://s1-storefront.yatas.com.tr/hasta-yatagi-c-100208	Brand	Yatak / Baza	I/C
yataş baza başlık	2400	17	17	0	4	https://s1-storefront.yatas.com.tr/baza-baslik-set-c-130102	Brand	Yatak / Baza	I/C
yataş yatak örtüsü	3600	15	17	0	3	https://s1-storefront.yatas.com.tr/tr/yatak-ortusu-seti-c-1205	Brand	Ev Tekstili	I/C/T
triola uyku seti	700	11	13	0	5	https://s1-storefront.yatas.com.tr/triola-uyku-seti-c-120103	Brand	Blog / Bilgi	I/C
yataş uyku seti çift kişilik	2000	18	13	0	2	https://s1-storefront.yatas.com.tr/triola-uyku-seti-c-120103	Brand	Blog / Bilgi	I/C
yataş çift kişilik yatak	5600	20	13	1	5	https://s1-storefront.yatas.com.tr/-p-324180	Brand	Yatak / Baza	I/C
yataş sipariş takip	500	10	12	0	8	https://s1-storefront.yatas.com.tr/tr/order-tracking	Brand	Diğer	I/N
yatak pedi yataş	1300	16	12	0	5	https://s1-storefront.yatas.com.tr/alez-uyku-pedi-c-1103	Brand	Yatak / Baza	I/C
yataş çeyiz seti	1800	16	12	0	4	https://s1-storefront.yatas.com.tr/ceyiz-seti-c-120101	Brand	Ev Tekstili	I/C/T
yataş yatak	31000	13	11	0	7	https://s1-storefront.yatas.com.tr/tr/ihtiyaca-gore-c-1002	Brand	Yatak / Baza	I/C
yataş 3 lü set	250	10	10	0	5	https://s1-storefront.yatas.com.tr/yatak-baza-baslik-set-c-130101	Brand	Diğer	I/C
yataş kaz tüyü yastık	250	8	10	0	6	https://s1-storefront.yatas.com.tr/kaz-tuyu-c-110113	Brand	Ev Tekstili	I/C/T
yataş tek kişilik yorgan	1200	16	10	0	3	https://s1-storefront.yatas.com.tr/tr/yun-c-110201	Brand	Ev Tekstili	I/C
yataş komodin	150	7	10	0	4	https://s1-storefront.yatas.com.tr/komodin-c-13020502	Brand	Yatak Odası	I/C
yataş yorgan fiyatları	600	13	10	0	2	https://s1-storefront.yatas.com.tr/tr/yun-c-110201	Brand	Ev Tekstili	I/C
yataş triola uyku seti	800	13	10	0	6	https://s1-storefront.yatas.com.tr/triola-uyku-seti-c-120103	Brand	Blog / Bilgi	I/C
yataş ergocoil infinity	150	7	10	0	4	https://s1-storefront.yatas.com.tr/ergocoil-infinity-pro-p-12826313	Brand	Yatak / Baza	I/C
www.yatas.com.tr	10	1	9	17	8	https://www.yatas.com.tr/	Brand	Diğer	I/C/N
yataş bambu yastık	900	14	9	0	3	https://s1-storefront.yatas.com.tr/tr/-p-1556429	Brand	Ev Tekstili	I/C
yataş yün yastık	300	10	9	0	4	https://s1-storefront.yatas.com.tr/tr/superwashed-yun-yastik-p-1369061	Brand	Ev Tekstili	I/C
yataş bambu yorgan	800	13	9	0	6	https://s1-storefront.yatas.com.tr/bambu-yorgan-p-01327291	Brand	Ev Tekstili	I/C
yataş battaniye	3300	23	9	0	4	https://s1-storefront.yatas.com.tr/tr/battaniye-c-1204	Brand	Ev Tekstili	I/C
yataş baza başlık yatak	1700	18	9	0	4	https://s1-storefront.yatas.com.tr/baza-baslik-set-c-130102	Brand	Yatak / Baza	I/C
yataş yavrulu yatak fiyatları	500	14	8	0	3	https://s1-storefront.yatas.com.tr/tr/yavrulu-baza-c-13020403	Brand	Yatak / Baza	I/C
yataş karyola çift kişilik	100	7	8	0	5	https://s1-storefront.yatas.com.tr/-p-1661169	Brand	Yatak / Baza	I/C
yataş wool sense	100	6	8	0	8	https://s1-storefront.yatas.com.tr/tr/wool-sense-pro-p-1518142	Brand	Yatak / Baza	I/C
yataş silver therapy	450	11	8	0	4	https://s1-storefront.yatas.com.tr/tr/-p-752376	Brand	Yatak / Baza	I/C
yataş koltuk şalı	250	10	8	0	3	https://s1-storefront.yatas.com.tr/tr/koltuk-sali-c-1209	Brand	Ev Tekstili	I/C
yataş koltuk örtüsü	200	10	8	0	2	https://s1-storefront.yatas.com.tr/tr/koltuk-sali-c-150103	Brand	Ev Tekstili	I/C/T
