Marka	Keyword	Hacim	Pozisyon	Trafik	KD	CPC (cent)	URL	Kategori	Cluster	Intent
Kelebek	kelebek	112000	1	81070	42	4	https://www.kelebek.com/	Brand	Diğer	I/C/N
Kelebek	kelebek mobilya	91000	1	50909	1	4	https://www.kelebek.com/	Brand	Diğer	I/C/N
Kelebek	yatak odası takımı	117000	9	5768	3	8	https://www.kelebek.com/yatak-odasi-takimi	Quick Win	Yatak Odası	I/C
Kelebek	mutfak masa sandalye takımı	16000	2	5118	2	4	https://www.kelebek.com/mutfak-masa-takimi	Non-Brand	Masa / Sandalye	I/C
Kelebek	mutfak masası takımı	21000	3	4934	2	4	https://www.kelebek.com/mutfak-masa-takimi	Non-Brand	Masa / Sandalye	I/C
Kelebek	zigon sehpa	32000	3	4922	0	4	https://www.kelebek.com/zigon-sehpa	Non-Brand	Sehpa / Konsol	I/C
Kelebek	koltuk takımı	160000	12	4581	10	8	https://www.kelebek.com/koltuk-takimlari	Quick Win	Koltuk / Oturma	I/C
Kelebek	mutfak masası	47000	6	3902	1	4	https://www.kelebek.com/mutfak-masa-takimi	Quick Win	Masa / Sandalye	I/C
Kelebek	l koltuk	55000	7	3652	2	6	https://www.kelebek.com/kose-takimi	Quick Win	Koltuk / Oturma	I/C
Kelebek	kelebek koltuk takımı	3500	1	3582	0	3	https://www.kelebek.com/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
Kelebek	tv ünitesi	73000	9	3274	7	5	https://www.kelebek.com/tv-unite-takimi	Quick Win	TV Ünitesi	I/C/T
Kelebek	bohem koltuk takımı	79000	8	3023	0	6	https://www.kelebek.com/lucenta-bohem-koltuk-takimi	Quick Win	Koltuk / Oturma	I/C
Kelebek	orta sehpa	41000	7	2609	0	5	https://www.kelebek.com/orta-sehpa	Quick Win	Sehpa / Konsol	I/C
Kelebek	sandalye	48000	5	2477	1	4	https://www.kelebek.com/sandalye-bench	Quick Win	Masa / Sandalye	I/C
Kelebek	konsol	35000	3	2326	0	4	https://www.kelebek.com/konsol	Non-Brand	Sehpa / Konsol	I/C
Kelebek	şifonyer	37000	6	2014	0	6	https://www.kelebek.com/sifonyer	Quick Win	Yatak Odası	I/C
Kelebek	puf	35000	5	1877	0	2	https://www.kelebek.com/puf	Quick Win	Koltuk / Oturma	I/C
Kelebek	yemek masası takımı	40000	8	1568	2	5	https://www.kelebek.com/yemek-odasi-takimi	Quick Win	Masa / Sandalye	I/C
Kelebek	kelebek genç odası	2100	1	1508	0	6	https://www.kelebek.com/genc-odasi-takimlari	Brand	Genç / Çocuk Odası	I/C
Kelebek	kelebek yatak odası	3000	1	1463	0	2	https://www.kelebek.com/yatak-odasi-takimi	Brand	Yatak Odası	I/C
Kelebek	yataklı kanepe	4100	2	1459	0	6	https://www.kelebek.com/yatakli-koltuk	Non-Brand	Koltuk / Oturma	I/C/T
Kelebek	genç odası	22000	8	1458	1	6	https://www.kelebek.com/martha-genc-odasi-takimi	Quick Win	Genç / Çocuk Odası	I/C
Kelebek	kelebek mobilya koltuk takımı	2000	1	1441	0	2	https://www.kelebek.com/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
Kelebek	mutfak masa takımı	9500	4	1437	2	4	https://www.kelebek.com/mutfak-masa-takimi	Quick Win	Masa / Sandalye	I/C
Kelebek	kelebek köşe takımı	2400	1	1380	0	3	https://www.kelebek.com/kose-takimi	Brand	Koltuk / Oturma	I/C
Kelebek	orta sehpa modelleri	13000	4	1354	0	3	https://www.kelebek.com/orta-sehpa	Quick Win	Sehpa / Konsol	I/C
Kelebek	bar masası	7100	3	1294	0	9	https://www.kelebek.com/marbel-aluminyum-bar-masasi	Non-Brand	Masa / Sandalye	I/C/T
Kelebek	köşe koltuk takımı	23000	9	1252	2	6	https://www.kelebek.com/kose-takimi	Quick Win	Koltuk / Oturma	I/C
Kelebek	konsol modelleri	17000	6	1224	0	3	https://www.kelebek.com/konsol	Quick Win	Sehpa / Konsol	I/C
Kelebek	kelebek mobilya yatak odası	1200	1	1125	0	2	https://www.kelebek.com/yatak-odasi-takimi	Brand	Yatak Odası	I/C
Kelebek	yemek odası takımı	14000	7	1084	3	6	https://www.kelebek.com/yemek-odasi-takimi	Quick Win	Yemek Odası	I/C
Kelebek	kelebek mobilya müşteri hizmetleri	1700	1	1004	0	7	https://www.kelebek.com/iletisim	Brand	Diğer	I
Kelebek	koltuk neyle silinir	2400	1	999	0	5	https://www.kelebek.com/blog-koltuk-nasil-silinir-ve-temizlenir-temizlik-onerileri	Long-Tail	Koltuk / Oturma	I
Kelebek	l koltuk takımı	25000	8	992	3	5	https://www.kelebek.com/kose-takimi	Quick Win	Koltuk / Oturma	I/C
Kelebek	yataklı koltuk	4600	3	971	0	7	https://www.kelebek.com/yatakli-koltuk	Non-Brand	Koltuk / Oturma	I/C
Kelebek	kelebek mutfak masası	1800	1	966	0	3	https://www.kelebek.com/mutfak-masa-takimi	Brand	Masa / Sandalye	I/C
Kelebek	sehpa	23000	8	873	1	4	https://www.kelebek.com/sehpalar	Quick Win	Sehpa / Konsol	I/C
Kelebek	açılır kapanır masa	8400	4	866	0	3	https://www.kelebek.com/acilir-masa	Quick Win	Masa / Sandalye	I/C
Kelebek	kelebek tv ünitesi	1400	1	860	0	4	https://www.kelebek.com/tv-unitesi	Brand	TV Ünitesi	I/C
Kelebek	bebek odası	9400	6	805	0	6	https://www.kelebek.com/bebek-odasi-takimlari	Quick Win	Genç / Çocuk Odası	I/C
Kelebek	köşe koltuk	14000	9	768	2	7	https://www.kelebek.com/kose-takimi	Quick Win	Koltuk / Oturma	I/C/T
Kelebek	bebek odası takımı	8600	5	745	0	7	https://www.kelebek.com/bebek-odasi-takimlari	Quick Win	Genç / Çocuk Odası	I/C
Kelebek	mobilya	29000	12	724	64	7	https://www.kelebek.com/	Non-Brand	Diğer	I/C
Kelebek	yuvarlak masa	12000	6	702	0	7	https://www.kelebek.com/martha-yuvarlak-acilir-masa	Quick Win	Masa / Sandalye	I/C/T
Kelebek	kelebek yemek masası	1100	1	687	0	1	https://www.kelebek.com/masalar	Brand	Masa / Sandalye	I/C
Kelebek	genç odası takımı	17000	10	680	2	6	https://www.kelebek.com/genc-odasi-takimlari	Quick Win	Genç / Çocuk Odası	I/C
Kelebek	ikili koltuk	7100	6	673	0	5	https://www.kelebek.com/ikili-koltuk	Quick Win	Koltuk / Oturma	I/C
Kelebek	şifonyer modelleri	7500	5	617	1	4	https://www.kelebek.com/sifonyer	Quick Win	Yatak Odası	I/C
Kelebek	kelebek oturma grubu	800	1	580	0	6	https://www.kelebek.com/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
Kelebek	bohem	17000	5	570	0	4	https://www.kelebek.com/blog-bohem-tarz-nedir-bohem-ne-demektir	Quick Win	Dekorasyon / Aksesuar	I/C
Kelebek	yatak odası	17000	9	548	5	7	https://www.kelebek.com/lidya-yatak-odasi-takimi	Quick Win	Yatak Odası	I/C
Kelebek	kelebek yatak odası takımı	900	1	533	0	2	https://www.kelebek.com/yatak-odasi-takimi	Brand	Yatak Odası	I/C
