Cluster	Marka	Non-Brand KW Sayısı	Toplam Trafik	Toplam Hacim	En İyi KW	En İyi KW Trafik
Blog / Bilgi	Kelebek	1	489	18000	bohem ne demek	489
Blog / Bilgi	Doğtaş	5	2507	19100	furniture store	781
Blog / Bilgi	Lovayatak	67	18120	146500	uyku nasıl açılır	1935
Blog / Bilgi	İstikbal	5	10451	26600	viskon kumaş nedir	4315
Blog / Bilgi	Bellona	6	22579	66000	ergonomi örnekleri	12154
Dekorasyon / Aksesuar	Kelebek	1	570	17000	bohem	570
Dekorasyon / Aksesuar	Doğtaş	1	364	20000	antrasit renk	364
Dekorasyon / Aksesuar	Lovayatak	0	0	0	-	0
Dekorasyon / Aksesuar	İstikbal	2	3740	52100	kitaplık	2655
Dekorasyon / Aksesuar	Bellona	2	4346	8000	20 haziran hangi burç	3097
Diğer	Kelebek	1	724	29000	mobilya	724
Diğer	Doğtaş	1	8144	29000	mobilya	8144
Diğer	Lovayatak	2	453	1100	uyurken sikiyor	343
Diğer	İstikbal	2	5288	49000	mobilya	4170
Diğer	Bellona	0	0	0	-	0
Düğün / Çeyiz	Kelebek	0	0	0	-	0
Düğün / Çeyiz	Doğtaş	2	1465	17400	düğün paketi	1014
Düğün / Çeyiz	Lovayatak	1	179	500	yatak odası çeyiz listesi	179
Düğün / Çeyiz	İstikbal	3	7366	19100	düğün paketi	4257
Düğün / Çeyiz	Bellona	1	4496	23000	çeyiz listesi	4496
Ev Tekstili	Kelebek	0	0	0	-	0
Ev Tekstili	Doğtaş	0	0	0	-	0
Ev Tekstili	Lovayatak	7	1476	11650	battaniye hangi programda yıkanır	723
Ev Tekstili	İstikbal	0	0	0	-	0
Ev Tekstili	Bellona	2	2740	6000	perde kaç derecede yıkanır	1439
Genç / Çocuk Odası	Kelebek	4	3688	57000	genç odası	1458
Genç / Çocuk Odası	Doğtaş	3	3254	40000	çocuk odası	1985
Genç / Çocuk Odası	Lovayatak	0	0	0	-	0
Genç / Çocuk Odası	İstikbal	3	5198	51000	genç odası	2481
Genç / Çocuk Odası	Bellona	1	1548	22000	genç odası	1548
Koltuk / Oturma	Kelebek	20	23308	466400	koltuk takımı	4581
Koltuk / Oturma	Doğtaş	14	16067	387300	koltuk takımı	8862
Koltuk / Oturma	Lovayatak	0	0	0	-	0
Koltuk / Oturma	İstikbal	20	128028	516800	koltuk takımı	44581
Koltuk / Oturma	Bellona	12	42401	395500	koltuk takımı	13981
Masa / Sandalye	Kelebek	14	24017	260700	mutfak masa sandalye takımı	5118
Masa / Sandalye	Doğtaş	7	8668	230300	çalışma masası	5403
Masa / Sandalye	Lovayatak	0	0	0	-	0
Masa / Sandalye	İstikbal	6	15678	270000	yemek masası takımı	4049
Masa / Sandalye	Bellona	5	10705	275000	makyaj masası	3015
Sehpa / Konsol	Kelebek	9	14366	194200	zigon sehpa	4922
Sehpa / Konsol	Doğtaş	2	793	52000	konsol modelleri	401
Sehpa / Konsol	Lovayatak	0	0	0	-	0
Sehpa / Konsol	İstikbal	2	3143	49000	zigon sehpa	1613
Sehpa / Konsol	Bellona	1	2520	32000	zigon sehpa	2520
TV Ünitesi	Kelebek	3	4035	90600	tv ünitesi	3274
TV Ünitesi	Doğtaş	3	4821	93200	tv ünitesi	3696
TV Ünitesi	Lovayatak	0	0	0	-	0
TV Ünitesi	İstikbal	2	4296	87000	tv ünitesi	2365
TV Ünitesi	Bellona	2	7956	88000	tv ünitesi	5774
Yatak / Baza	Kelebek	6	2343	55100	yatak olan koltuk	521
Yatak / Baza	Doğtaş	1	1180	14000	karyola	1180
Yatak / Baza	Lovayatak	17	10223	159900	yatak	2741
Yatak / Baza	İstikbal	5	7190	107900	baza fiyatları	2074
Yatak / Baza	Bellona	3	11302	43000	çift kişilik baza	7706
Yatak Odası	Kelebek	6	9498	218200	yatak odası takımı	5768
Yatak Odası	Doğtaş	4	19728	180000	yatak odası takımı	11232
Yatak Odası	Lovayatak	0	0	0	-	0
Yatak Odası	İstikbal	5	50624	154400	yatak odası takımı	41232
Yatak Odası	Bellona	4	22210	149500	yatak odası takımı	17550
Yemek Odası	Kelebek	2	1501	19900	yemek odası takımı	1084
Yemek Odası	Doğtaş	2	1685	19900	yemek odası takımı	1354
Yemek Odası	Lovayatak	0	0	0	-	0
Yemek Odası	İstikbal	1	2116	14000	yemek odası takımı	2116
Yemek Odası	Bellona	1	3307	14000	yemek odası takımı	3307
